0.711	0.529367
0.712	0.529124
0.713	0.528881
0.714	0.52864
0.715	0.5284
0.716	0.528162
0.717	0.527925
0.718	0.527689
0.719	0.527455
0.72	0.527222
0.721	0.526991
0.722	0.52676
0.723	0.526531
0.724	0.526304
0.725	0.526078
0.726	0.525853
0.727	0.525629
0.728	0.525407
0.729	0.525186
0.73	0.524966
0.731	0.524747
0.732	0.52453
0.733	0.524314
0.734	0.524099
0.735	0.523886
0.736	0.523674
0.737	0.523463
0.738	0.523253
0.739	0.523045
0.74	0.522838
0.741	0.522632
0.742	0.522427
0.743	0.522224
0.744	0.522022
0.745	0.52182
0.746	0.521621
0.747	0.521422
0.748	0.521225
0.749	0.521028
0.75	0.520833
0.751	0.520639
0.752	0.520447
0.753	0.520255
0.754	0.520065
0.755	0.519876
0.756	0.519688
0.757	0.519501
0.758	0.519315
0.759	0.519131
0.76	0.518947
0.761	0.518765
0.762	0.518584
0.763	0.518404
0.764	0.518225
0.765	0.518047
0.766	0.517871
0.767	0.517695
0.768	0.517521
0.769	0.517348
0.77	0.517175
0.771	0.517004
0.772	0.516834
0.773	0.516665
0.774	0.516497
0.775	0.516331
0.776	0.516165
0.777	0.516
0.778	0.515837
0.779	0.515674
0.78	0.515513
0.781	0.515352
0.782	0.515193
0.783	0.515035
0.784	0.514878
0.785	0.514721
0.786	0.514566
0.787	0.514412
0.788	0.514259
0.789	0.514107
0.79	0.513956
0.791	0.513806
0.792	0.513657
0.793	0.513509
0.794	0.513361
0.795	0.513215
0.796	0.51307
0.797	0.512926
0.798	0.512783
0.799	0.512641
0.8	0.5125
0.801	0.512359
0.802	0.51222
0.803	0.512082
0.804	0.511944
0.805	0.511808
0.806	0.511673
0.807	0.511539
0.808	0.511405
0.809	0.511273
0.81	0.511141
0.811	0.511011
0.812	0.510882
0.813	0.510753
0.814	0.510625
0.815	0.510498
0.816	0.510373
0.817	0.510248
0.818	0.510123
0.819	0.51
0.82	0.509878
0.821	0.509757
0.822	0.509636
0.823	0.509517
0.824	0.509398
0.825	0.50928
0.826	0.509163
0.827	0.509047
0.828	0.508932
0.829	0.508818
0.83	0.508705
0.831	0.508592
0.832	0.508481
0.833	0.50837
0.834	0.50826
0.835	0.508151
0.836	0.508043
0.837	0.507936
0.838	0.507829
0.839	0.507724
0.84	0.507619
0.841	0.507515
0.842	0.507412
0.843	0.50731
0.844	0.507209
0.845	0.507108
0.846	0.507008
